name,hex,r,g,b
Green,#00ff00,0,255,0
Air Force Blue (Raf),#5d8aa8,93,138,168
Air Force Blue (Usaf),#00308f,0,48,143
Air Superiority Blue,#72a0c1,114,160,193
Alabama Crimson,#a32638,163,38,56
Alice Blue,#f0f8ff,240,248,255
Alizarin Crimson,#e32636,227,38,54
Alloy Orange,#c46210,196,98,16
Almond,#efdecd,239,222,205
Amaranth,#e52b50,229,43,80
Amber,#ffbf00,255,191,0
Amber (Sae/Ece),#ff7e00,255,126,0
American Rose,#ff033e,255,3,62
Amethyst,#9966cc,153,102,204
Android Green,#a4c639,164,198,57
Anti-Flash White,#f2f3f4,242,243,244
Antique Brass,#cd9575,205,149,117
Antique Fuchsia,#915c83,145,92,131
Antique Ruby,#841b2d,132,27,45
Antique White,#faebd7,250,235,215
Ao (English),#008000,0,128,0
Apple Green,#8db600,141,182,0
Apricot,#fbceb1,251,206,177
Aqua,#00ffff,0,255,255
Aquamarine,#7fffd4,127,255,212
Army Green,#4b5320,75,83,32
Arsenic,#3b444b,59,68,75
Arylide Yellow,#e9d66b,233,214,107
Ash Grey,#b2beb5,178,190,181
Asparagus,#87a96b,135,169,107
Atomic Tangerine,#ff9966,255,153,102
Auburn,#a52a2a,165,42,42
Aureolin,#fdee00,253,238,0
Aurometalsaurus,#6e7f80,110,127,128
Avocado,#568203,86,130,3
Azure,#007fff,0,127,255
Azure Mist/Web,#f0ffff,240,255,255
Baby Blue,#89cff0,137,207,240
Baby Blue Eyes,#a1caf1,161,202,241
Baby Pink,#f4c2c2,244,194,194
Ball Blue,#21abcd,33,171,205
Banana Mania,#fae7b5,250,231,181
Banana Yellow,#ffe135,255,225,53
Barn Red,#7c0a02,124,10,2
Battleship Grey,#848482,132,132,130
Bazaar,#98777b,152,119,123
Beau Blue,#bcd4e6,188,212,230
Beaver,#9f8170,159,129,112
Beige,#f5f5dc,245,245,220
Big Dip O'Ruby,#9c2542,156,37,66
Bisque,#ffe4c4,255,228,196
Bistre,#3d2b1f,61,43,31
Bittersweet,#fe6f5e,254,111,94
Bittersweet Shimmer,#bf4f51,191,79,81
Black,#000000,0,0,0
Black Bean,#3d0c02,61,12,2
Black Leather Jacket,#253529,37,53,41
Black Olive,#3b3c36,59,60,54
Blanched Almond,#ffebcd,255,235,205
Blast-Off Bronze,#a57164,165,113,100
Bleu De France,#318ce7,49,140,231
Blizzard Blue,#ace5ee,172,229,238
Blond,#faf0be,250,240,190
Blue,#0000ff,0,0,255
Blue Bell,#a2a2d0,162,162,208
Blue (Crayola),#1f75fe,31,117,254
Blue Gray,#6699cc,102,153,204
Blue-Green,#0d98ba,13,152,186
Blue (Munsell),#0093af,0,147,175
Blue (Ncs),#0087bd,0,135,189
Blue (Pigment),#333399,51,51,153
Blue (Ryb),#0247fe,2,71,254
Blue Sapphire,#126180,18,97,128
Blue-Violet,#8a2be2,138,43,226
Blush,#de5d83,222,93,131
Bole,#79443b,121,68,59
Bondi Blue,#0095b6,0,149,182
Bone,#e3dac9,227,218,201
Boston University Red,#cc0000,204,0,0
Bottle Green,#006a4e,0,106,78
Boysenberry,#873260,135,50,96
Brandeis Blue,#0070ff,0,112,255
Brass,#b5a642,181,166,66
Brick Red,#cb4154,203,65,84
Bright Cerulean,#1dacd6,29,172,214
Bright Green,#66ff00,102,255,0
Bright Lavender,#bf94e4,191,148,228
Bright Maroon,#c32148,195,33,72
Bright Pink,#ff007f,255,0,127
Bright Turquoise,#08e8de,8,232,222
Bright Ube,#d19fe8,209,159,232
Brilliant Lavender,#f4bbff,244,187,255
Brilliant Rose,#ff55a3,255,85,163
Brink Pink,#fb607f,251,96,127
British Racing Green,#004225,0,66,37
Bronze,#cd7f32,205,127,50
Brown (Traditional),#964b00,150,75,0
Brown (Web),#a52a2a,165,42,42
Bubble Gum,#ffc1cc,255,193,204
Bubbles,#e7feff,231,254,255
Buff,#f0dc82,240,220,130
Bulgarian Rose,#480607,72,6,7
Burgundy,#800020,128,0,32
Burlywood,#deb887,222,184,135
Burnt Orange,#cc5500,204,85,0
Burnt Sienna,#e97451,233,116,81
Burnt Umber,#8a3324,138,51,36
Byzantine,#bd33a4,189,51,164
Byzantium,#702963,112,41,99
Cadet,#536872,83,104,114
Cadet Blue,#5f9ea0,95,158,160
Cadet Grey,#91a3b0,145,163,176
Cadmium Green,#006b3c,0,107,60
Cadmium Orange,#ed872d,237,135,45
Cadmium Red,#e30022,227,0,34
Cadmium Yellow,#fff600,255,246,0
Café Au Lait,#a67b5b,166,123,91
Café Noir,#4b3621,75,54,33
Cal Poly Green,#1e4d2b,30,77,43
Cambridge Blue,#a3c1ad,163,193,173
Camel,#c19a6b,193,154,107
Cameo Pink,#efbbcc,239,187,204
Camouflage Green,#78866b,120,134,107
Canary Yellow,#ffef00,255,239,0
Candy Apple Red,#ff0800,255,8,0
Candy Pink,#e4717a,228,113,122
Capri,#00bfff,0,191,255
Caput Mortuum,#592720,89,39,32
Cardinal,#c41e3a,196,30,58
Caribbean Green,#00cc99,0,204,153
Carmine,#960018,150,0,24
Carmine (M&P),#d70040,215,0,64
Carmine Pink,#eb4c42,235,76,66
Carmine Red,#ff0038,255,0,56
Carnation Pink,#ffa6c9,255,166,201
Carnelian,#b31b1b,179,27,27
Carolina Blue,#56a0d3,86,160,211
Carrot Orange,#ed9121,237,145,33
Castleton Green,#00563f,0,86,63
Catalina Blue,#062a78,6,42,120
Catawba,#703642,112,54,66
Cedar Chest,#c95a49,201,90,73
Ceil,#92a1cf,146,161,207
Celadon,#ace1af,172,225,175
Celadon Blue,#007ba7,0,123,167
Celadon Green,#2f847c,47,132,124
Celeste,#b2ffff,178,255,255
Celestial Blue,#4997d0,73,151,208
Cerise,#de3163,222,49,99
Cerise Pink,#ec3b83,236,59,131
Cerulean,#007ba7,0,123,167
Cerulean Blue,#2a52be,42,82,190
Cerulean Frost,#6d9bc3,109,155,195
Cg Blue,#007aa5,0,122,165
Cg Red,#e03c31,224,60,49
Chamoisee,#a0785a,160,120,90
Champagne,#f7e7ce,247,231,206
Charcoal,#36454f,54,69,79
Charleston Green,#232b2b,35,43,43
Charm Pink,#e68fac,230,143,172
Chartreuse (Traditional),#dfff00,223,255,0
Chartreuse (Web),#7fff00,127,255,0
Cherry,#de3163,222,49,99
Cherry Blossom Pink,#ffb7c5,255,183,197
Chestnut,#954535,149,69,53
China Pink,#de6fa1,222,111,161
China Rose,#a8516e,168,81,110
Chinese Red,#aa381e,170,56,30
Chinese Violet,#856088,133,96,136
Chocolate (Traditional),#7b3f00,123,63,0
Chocolate (Web),#d2691e,210,105,30
Chrome Yellow,#ffa700,255,167,0
Cinereous,#98817b,152,129,123
Cinnabar,#e34234,227,66,52
Cinnamon,#d2691e,210,105,30
Citrine,#e4d00a,228,208,10
Citron,#9fa91f,159,169,31
Claret,#7f1734,127,23,52
Classic Rose,#fbcce7,251,204,231
Cobalt Blue,#0047ab,0,71,171
Cocoa Brown,#d2691e,210,105,30
Coconut,#965a3e,150,90,62
Coffee,#6f4e37,111,78,55
Columbia Blue,#9bddff,155,221,255
Congo Pink,#f88379,248,131,121
Cool Black,#002e63,0,46,99
Cool Grey,#8c92ac,140,146,172
Copper,#b87333,184,115,51
Copper (Crayola),#da8a67,218,138,103
Copper Penny,#ad6f69,173,111,105
Copper Red,#cb6d51,203,109,81
Copper Rose,#996666,153,102,102
Coquelicot,#ff3800,255,56,0
Coral,#ff7f50,255,127,80
Coral Pink,#f88379,248,131,121
Coral Red,#ff4040,255,64,64
Cordovan,#893f45,137,63,69
Corn,#fbec5d,251,236,93
Cornell Red,#b31b1b,179,27,27
Cornflower Blue,#6495ed,100,149,237
Cornsilk,#fff8dc,255,248,220
Cosmic Latte,#fff8e7,255,248,231
Cotton Candy,#ffbcd9,255,188,217
Cream,#fffdd0,255,253,208
Crimson,#dc143c,220,20,60
Crimson Glory,#be0032,190,0,50
Cyan,#00ffff,0,255,255
Cyan (Process),#00b7eb,0,183,235
Daffodil,#ffff31,255,255,49
Dandelion,#f0e130,240,225,48
Dark Blue,#00008b,0,0,139
Dark Brown,#654321,101,67,33
Dark Byzantium,#5d3954,93,57,84
Dark Candy Apple Red,#a40000,164,0,0
Dark Cerulean,#08457e,8,69,126
Dark Chestnut,#986960,152,105,96
Dark Coral,#cd5b45,205,91,69
Dark Cyan,#008b8b,0,139,139
Dark Electric Blue,#536878,83,104,120
Dark Goldenrod,#b8860b,184,134,11
Dark Gray,#a9a9a9,169,169,169
Dark Green,#013220,1,50,32
Dark Imperial Blue,#00416a,0,65,106
Dark Jungle Green,#1a2421,26,36,33
Dark Khaki,#bdb76b,189,183,107
Dark Lava,#483c32,72,60,50
Dark Lavender,#734f96,115,79,150
Dark Magenta,#8b008b,139,0,139
Dark Midnight Blue,#003366,0,51,102
Dark Olive Green,#556b2f,85,107,47
Dark Orange,#ff8c00,255,140,0
Dark Orchid,#9932cc,153,50,204
Dark Pastel Blue,#779ecb,119,158,203
Dark Pastel Green,#03c03c,3,192,60
Dark Pastel Purple,#966fd6,150,111,214
